instant,dteday,holiday,weathersit,temp,atemp,hum,windspeed,count,day_of_the_week,month,season
58,2011-01-03,0,1,0.22,0.2121,0.35,0.2985,61,Monday,January,Winter
59,2011-01-03,0,1,0.24,0.2121,0.35,0.2836,61,Monday,January,Winter
60,2011-01-03,0,1,0.26,0.2424,0.3,0.2836,77,Monday,January,Winter
61,2011-01-03,0,1,0.26,0.2424,0.3,0.2537,72,Monday,January,Winter
62,2011-01-03,0,1,0.26,0.2424,0.3,0.2537,76,Monday,January,Winter
63,2011-01-03,0,1,0.24,0.2273,0.3,0.2239,157,Monday,January,Winter
64,2011-01-03,0,1,0.24,0.2576,0.32,0.1045,157,Monday,January,Winter
65,2011-01-03,0,1,0.2,0.2576,0.47,0.0,110,Monday,January,Winter
66,2011-01-03,0,1,0.2,0.2273,0.47,0.1045,52,Monday,January,Winter
67,2011-01-03,0,1,0.18,0.197,0.64,0.1343,52,Monday,January,Winter
68,2011-01-03,0,1,0.14,0.1515,0.69,0.1343,20,Monday,January,Winter
69,2011-01-03,0,1,0.18,0.2121,0.55,0.1045,12,Monday,January,Winter
70,2011-01-04,0,1,0.16,0.1818,0.55,0.1045,5,Tuesday,January,Winter
71,2011-01-04,0,1,0.16,0.1818,0.59,0.1045,2,Tuesday,January,Winter
72,2011-01-04,0,1,0.14,0.1515,0.63,0.1343,1,Tuesday,January,Winter
73,2011-01-04,0,1,0.14,0.1818,0.63,0.0896,2,Tuesday,January,Winter
74,2011-01-04,0,1,0.12,0.1515,0.68,0.1045,4,Tuesday,January,Winter
75,2011-01-04,0,1,0.12,0.1515,0.74,0.1045,36,Tuesday,January,Winter
76,2011-01-04,0,1,0.12,0.1515,0.74,0.1343,94,Tuesday,January,Winter
77,2011-01-04,0,1,0.14,0.1515,0.69,0.1642,179,Tuesday,January,Winter
78,2011-01-04,0,1,0.16,0.1515,0.64,0.2239,100,Tuesday,January,Winter
79,2011-01-04,0,2,0.16,0.1364,0.69,0.3284,42,Tuesday,January,Winter
80,2011-01-04,0,1,0.22,0.2121,0.51,0.2985,57,Tuesday,January,Winter
81,2011-01-04,0,1,0.22,0.2273,0.51,0.1642,78,Tuesday,January,Winter
82,2011-01-04,0,1,0.24,0.2273,0.56,0.194,97,Tuesday,January,Winter
83,2011-01-04,0,1,0.26,0.2576,0.52,0.2239,63,Tuesday,January,Winter
84,2011-01-04,0,1,0.28,0.2727,0.52,0.2537,65,Tuesday,January,Winter
85,2011-01-04,0,1,0.3,0.2879,0.49,0.2537,83,Tuesday,January,Winter
86,2011-01-04,0,1,0.28,0.2727,0.48,0.2239,212,Tuesday,January,Winter
87,2011-01-04,0,1,0.26,0.2576,0.48,0.194,182,Tuesday,January,Winter
88,2011-01-04,0,1,0.24,0.2576,0.48,0.1045,112,Tuesday,January,Winter
89,2011-01-04,0,1,0.24,0.2576,0.48,0.1045,54,Tuesday,January,Winter
90,2011-01-04,0,1,0.22,0.2727,0.64,0.0,48,Tuesday,January,Winter
91,2011-01-04,0,1,0.22,0.2576,0.64,0.0896,35,Tuesday,January,Winter
92,2011-01-04,0,1,0.2,0.2273,0.69,0.0896,11,Tuesday,January,Winter
93,2011-01-05,0,1,0.2,0.2576,0.64,0.0,6,Wednesday,January,Winter
94,2011-01-05,0,1,0.16,0.197,0.74,0.0896,6,Wednesday,January,Winter
95,2011-01-05,0,1,0.16,0.197,0.74,0.0896,2,Wednesday,January,Winter
96,2011-01-05,0,1,0.24,0.2273,0.48,0.2239,2,Wednesday,January,Winter
97,2011-01-05,0,1,0.22,0.2273,0.47,0.1642,3,Wednesday,January,Winter
98,2011-01-05,0,1,0.2,0.197,0.47,0.2239,33,Wednesday,January,Winter
99,2011-01-05,0,1,0.18,0.1818,0.43,0.194,88,Wednesday,January,Winter
100,2011-01-05,0,1,0.2,0.1818,0.4,0.2985,195,Wednesday,January,Winter
101,2011-01-05,0,1,0.22,0.197,0.37,0.3284,115,Wednesday,January,Winter
102,2011-01-05,0,1,0.22,0.197,0.37,0.3284,57,Wednesday,January,Winter
103,2011-01-05,0,1,0.26,0.2273,0.33,0.3284,46,Wednesday,January,Winter
104,2011-01-05,0,1,0.26,0.2273,0.33,0.3284,79,Wednesday,January,Winter
105,2011-01-05,0,1,0.28,0.2576,0.3,0.2985,71,Wednesday,January,Winter
106,2011-01-05,0,1,0.3,0.2879,0.28,0.194,62,Wednesday,January,Winter
107,2011-01-05,0,1,0.3,0.2879,0.28,0.194,62,Wednesday,January,Winter
108,2011-01-05,0,1,0.3,0.3182,0.28,0.0896,89,Wednesday,January,Winter
109,2011-01-05,0,1,0.24,0.2273,0.38,0.194,190,Wednesday,January,Winter
110,2011-01-05,0,1,0.24,0.2424,0.38,0.1343,169,Wednesday,January,Winter
111,2011-01-05,0,1,0.24,0.2576,0.38,0.1045,132,Wednesday,January,Winter
112,2011-01-05,0,1,0.22,0.2273,0.47,0.1642,89,Wednesday,January,Winter
113,2011-01-05,0,1,0.2,0.197,0.51,0.194,43,Wednesday,January,Winter
114,2011-01-05,0,1,0.18,0.197,0.55,0.1343,42,Wednesday,January,Winter
115,2011-01-05,0,1,0.2,0.2576,0.47,0.0,19,Wednesday,January,Winter
116,2011-01-06,0,1,0.18,0.2424,0.55,0.0,11,Thursday,January,Winter
117,2011-01-06,0,1,0.16,0.2273,0.64,0.0,4,Thursday,January,Winter
118,2011-01-06,0,1,0.16,0.2273,0.64,0.0,2,Thursday,January,Winter
119,2011-01-06,0,2,0.16,0.197,0.64,0.0896,1,Thursday,January,Winter
120,2011-01-06,0,2,0.14,0.1818,0.69,0.0896,4,Thursday,January,Winter
121,2011-01-06,0,2,0.14,0.1667,0.63,0.1045,36,Thursday,January,Winter
122,2011-01-06,0,2,0.16,0.2273,0.59,0.0,95,Thursday,January,Winter
123,2011-01-06,0,1,0.16,0.2273,0.59,0.0,219,Thursday,January,Winter
124,2011-01-06,0,2,0.18,0.2424,0.51,0.0,122,Thursday,January,Winter
125,2011-01-06,0,1,0.2,0.2576,0.47,0.0,45,Thursday,January,Winter
126,2011-01-06,0,1,0.22,0.2576,0.44,0.0896,59,Thursday,January,Winter
127,2011-01-06,0,1,0.26,0.2879,0.35,0.0,84,Thursday,January,Winter
128,2011-01-06,0,1,0.26,0.2727,0.35,0.1045,67,Thursday,January,Winter
129,2011-01-06,0,1,0.28,0.2727,0.36,0.1642,70,Thursday,January,Winter
130,2011-01-06,0,1,0.28,0.2727,0.36,0.0,62,Thursday,January,Winter
131,2011-01-06,0,1,0.26,0.2576,0.38,0.1642,86,Thursday,January,Winter
132,2011-01-06,0,1,0.22,0.2273,0.51,0.1642,172,Thursday,January,Winter
133,2011-01-06,0,1,0.22,0.2273,0.51,0.1343,163,Thursday,January,Winter
134,2011-01-06,0,1,0.22,0.2576,0.55,0.0896,112,Thursday,January,Winter
135,2011-01-06,0,1,0.2,0.2121,0.51,0.1642,69,Thursday,January,Winter
136,2011-01-06,0,2,0.22,0.2121,0.55,0.2239,48,Thursday,January,Winter
137,2011-01-06,0,2,0.22,0.2121,0.51,0.2836,52,Thursday,January,Winter
138,2011-01-06,0,2,0.2,0.197,0.59,0.194,23,Thursday,January,Winter
139,2011-01-07,0,2,0.2,0.197,0.64,0.194,17,Friday,January,Winter
140,2011-01-07,0,2,0.2,0.197,0.69,0.2239,7,Friday,January,Winter
141,2011-01-07,0,2,0.2,0.197,0.69,0.2239,1,Friday,January,Winter
142,2011-01-07,0,2,0.2,0.2121,0.69,0.1343,1,Friday,January,Winter
143,2011-01-07,0,3,0.22,0.2727,0.55,0.0,5,Friday,January,Winter
144,2011-01-07,0,2,0.2,0.2576,0.69,0.0,34,Friday,January,Winter
145,2011-01-07,0,1,0.2,0.2121,0.69,0.1343,84,Friday,January,Winter
146,2011-01-07,0,1,0.2,0.197,0.51,0.2537,210,Friday,January,Winter
147,2011-01-07,0,1,0.2,0.1818,0.47,0.2985,134,Friday,January,Winter
148,2011-01-07,0,1,0.22,0.197,0.37,0.3284,63,Friday,January,Winter
149,2011-01-07,0,2,0.2,0.197,0.4,0.2239,67,Friday,January,Winter
150,2011-01-07,0,2,0.2,0.197,0.37,0.2537,59,Friday,January,Winter
151,2011-01-07,0,2,0.2,0.1818,0.37,0.2836,73,Friday,January,Winter
152,2011-01-07,0,2,0.2,0.197,0.4,0.2537,50,Friday,January,Winter
153,2011-01-07,0,2,0.2,0.2121,0.37,0.1642,72,Friday,January,Winter
154,2011-01-07,0,2,0.2,0.2121,0.37,0.1642,87,Friday,January,Winter
155,2011-01-07,0,2,0.2,0.2576,0.37,0.0,187,Friday,January,Winter
156,2011-01-07,0,1,0.2,0.2273,0.4,0.0896,123,Friday,January,Winter
157,2011-01-07,0,1,0.16,0.197,0.55,0.0896,95,Friday,January,Winter
158,2011-01-07,0,1,0.18,0.2121,0.47,0.1045,51,Friday,January,Winter
159,2011-01-07,0,1,0.18,0.197,0.47,0.1343,39,Friday,January,Winter
160,2011-01-07,0,2,0.18,0.197,0.43,0.1642,36,Friday,January,Winter
161,2011-01-07,0,2,0.18,0.197,0.51,0.1642,15,Friday,January,Winter
162,2011-01-08,0,2,0.18,0.197,0.51,0.1642,25,Saturday,January,Winter
163,2011-01-08,0,2,0.18,0.2121,0.55,0.0896,16,Saturday,January,Winter
164,2011-01-08,0,2,0.18,0.2424,0.55,0.0,16,Saturday,January,Winter
165,2011-01-08,0,3,0.18,0.197,0.55,0.1642,7,Saturday,January,Winter
166,2011-01-08,0,3,0.18,0.197,0.55,0.1642,1,Saturday,January,Winter
167,2011-01-08,0,2,0.16,0.1667,0.74,0.1642,5,Saturday,January,Winter
168,2011-01-08,0,2,0.16,0.1667,0.74,0.1642,2,Saturday,January,Winter
169,2011-01-08,0,2,0.16,0.1818,0.74,0.1045,9,Saturday,January,Winter
170,2011-01-08,0,3,0.16,0.1818,0.93,0.1045,15,Saturday,January,Winter
171,2011-01-08,0,3,0.16,0.1818,0.93,0.1045,20,Saturday,January,Winter
172,2011-01-08,0,2,0.18,0.197,0.8,0.1642,61,Saturday,January,Winter
173,2011-01-08,0,2,0.2,0.1818,0.69,0.3881,62,Saturday,January,Winter
174,2011-01-08,0,2,0.2,0.1818,0.59,0.3582,98,Saturday,January,Winter
175,2011-01-08,0,1,0.2,0.1818,0.44,0.3284,102,Saturday,January,Winter
176,2011-01-08,0,1,0.2,0.1667,0.32,0.4925,95,Saturday,January,Winter
177,2011-01-08,0,1,0.2,0.1667,0.32,0.4478,74,Saturday,January,Winter
178,2011-01-08,0,1,0.18,0.1364,0.29,0.4478,76,Saturday,January,Winter
179,2011-01-08,0,1,0.16,0.1212,0.37,0.5522,69,Saturday,January,Winter
180,2011-01-08,0,1,0.14,0.1212,0.39,0.2985,55,Saturday,January,Winter
181,2011-01-08,0,1,0.14,0.1212,0.36,0.2537,30,Saturday,January,Winter
182,2011-01-08,0,1,0.12,0.1212,0.36,0.2537,28,Saturday,January,Winter
183,2011-01-08,0,1,0.12,0.1061,0.39,0.3582,37,Saturday,January,Winter
184,2011-01-08,0,1,0.12,0.1061,0.36,0.3881,34,Saturday,January,Winter
185,2011-01-08,0,1,0.1,0.0606,0.39,0.4478,22,Saturday,January,Winter
186,2011-01-09,0,1,0.1,0.0758,0.42,0.3881,25,Sunday,January,Winter
187,2011-01-09,0,1,0.1,0.0606,0.42,0.4627,12,Sunday,January,Winter
188,2011-01-09,0,1,0.1,0.0606,0.46,0.4627,11,Sunday,January,Winter
189,2011-01-09,0,1,0.1,0.0758,0.46,0.4179,4,Sunday,January,Winter
190,2011-01-09,0,1,0.08,0.0909,0.53,0.194,1,Sunday,January,Winter
191,2011-01-09,0,1,0.08,0.0909,0.53,0.194,1,Sunday,January,Winter
192,2011-01-09,0,1,0.1,0.0909,0.49,0.2836,1,Sunday,January,Winter
193,2011-01-09,0,1,0.08,0.0909,0.53,0.194,6,Sunday,January,Winter
194,2011-01-09,0,1,0.1,0.0909,0.49,0.2836,10,Sunday,January,Winter
195,2011-01-09,0,1,0.12,0.0758,0.46,0.5224,19,Sunday,January,Winter
196,2011-01-09,0,1,0.14,0.1061,0.43,0.3881,49,Sunday,January,Winter
197,2011-01-09,0,1,0.16,0.1212,0.4,0.5224,49,Sunday,January,Winter
198,2011-01-09,0,1,0.18,0.1364,0.37,0.4478,83,Sunday,January,Winter
199,2011-01-09,0,1,0.2,0.1667,0.34,0.4478,75,Sunday,January,Winter
200,2011-01-09,0,1,0.22,0.1818,0.32,0.4627,72,Sunday,January,Winter
201,2011-01-09,0,1,0.22,0.197,0.35,0.3582,82,Sunday,January,Winter
202,2011-01-09,0,1,0.2,0.1667,0.34,0.4478,92,Sunday,January,Winter
203,2011-01-09,0,1,0.18,0.1515,0.37,0.3881,62,Sunday,January,Winter
204,2011-01-09,0,1,0.16,0.1364,0.4,0.3284,48,Sunday,January,Winter
205,2011-01-09,0,1,0.16,0.1364,0.43,0.3284,41,Sunday,January,Winter
206,2011-01-09,0,1,0.14,0.1212,0.46,0.2537,38,Sunday,January,Winter
207,2011-01-09,0,1,0.14,0.1061,0.46,0.4179,20,Sunday,January,Winter
208,2011-01-09,0,1,0.14,0.1212,0.46,0.2985,15,Sunday,January,Winter
209,2011-01-09,0,1,0.12,0.1364,0.5,0.194,6,Sunday,January,Winter
210,2011-01-10,0,1,0.12,0.1212,0.5,0.2836,5,Monday,January,Winter
211,2011-01-10,0,1,0.12,0.1212,0.5,0.2836,1,Monday,January,Winter
212,2011-01-10,0,1,0.12,0.1212,0.5,0.2239,3,Monday,January,Winter
213,2011-01-10,0,1,0.12,0.1212,0.5,0.2239,1,Monday,January,Winter
214,2011-01-10,0,1,0.1,0.1212,0.54,0.1343,3,Monday,January,Winter
215,2011-01-10,0,1,0.1,0.1061,0.54,0.2537,3,Monday,January,Winter
216,2011-01-10,0,1,0.12,0.1212,0.5,0.2836,31,Monday,January,Winter
217,2011-01-10,0,1,0.12,0.1212,0.5,0.2239,77,Monday,January,Winter
218,2011-01-10,0,2,0.12,0.1212,0.5,0.2836,188,Monday,January,Winter
219,2011-01-10,0,2,0.14,0.1212,0.5,0.2537,94,Monday,January,Winter
220,2011-01-10,0,2,0.14,0.1212,0.5,0.2985,31,Monday,January,Winter
221,2011-01-10,0,2,0.16,0.1364,0.47,0.2836,30,Monday,January,Winter
222,2011-01-10,0,2,0.2,0.1818,0.4,0.2836,52,Monday,January,Winter
223,2011-01-10,0,2,0.2,0.1818,0.4,0.2836,54,Monday,January,Winter
224,2011-01-10,0,2,0.2,0.197,0.4,0.2239,47,Monday,January,Winter
225,2011-01-10,0,2,0.2,0.197,0.4,0.2239,45,Monday,January,Winter
226,2011-01-10,0,1,0.2,0.2121,0.4,0.1343,74,Monday,January,Winter
227,2011-01-10,0,1,0.2,0.2273,0.4,0.1045,178,Monday,January,Winter
228,2011-01-10,0,1,0.2,0.197,0.4,0.2239,155,Monday,January,Winter
229,2011-01-10,0,1,0.16,0.1667,0.47,0.1642,95,Monday,January,Winter
230,2011-01-10,0,1,0.16,0.1667,0.5,0.1642,74,Monday,January,Winter
231,2011-01-10,0,1,0.14,0.1364,0.59,0.194,38,Monday,January,Winter
232,2011-01-10,0,1,0.14,0.1515,0.59,0.1642,24,Monday,January,Winter
233,2011-01-10,0,1,0.14,0.1515,0.59,0.1642,18,Monday,January,Winter
234,2011-01-11,0,1,0.14,0.1667,0.59,0.1045,12,Tuesday,January,Winter
235,2011-01-11,0,1,0.14,0.1515,0.59,0.1642,3,Tuesday,January,Winter
236,2011-01-11,0,2,0.16,0.1515,0.55,0.194,3,Tuesday,January,Winter
237,2011-01-11,0,2,0.16,0.1818,0.55,0.1343,6,Tuesday,January,Winter
238,2011-01-11,0,2,0.16,0.1818,0.55,0.1343,27,Tuesday,January,Winter
239,2011-01-11,0,2,0.16,0.2273,0.55,0.0,99,Tuesday,January,Winter
240,2011-01-11,0,2,0.18,0.2121,0.51,0.0896,217,Tuesday,January,Winter
241,2011-01-11,0,2,0.18,0.197,0.51,0.1642,130,Tuesday,January,Winter
242,2011-01-11,0,2,0.2,0.2121,0.51,0.1642,54,Tuesday,January,Winter
243,2011-01-11,0,2,0.2,0.2121,0.47,0.1343,35,Tuesday,January,Winter
244,2011-01-11,0,2,0.2,0.2273,0.51,0.1045,57,Tuesday,January,Winter
245,2011-01-11,0,2,0.2,0.2273,0.59,0.0896,52,Tuesday,January,Winter
246,2011-01-11,0,2,0.2,0.2273,0.59,0.0896,63,Tuesday,January,Winter
247,2011-01-11,0,2,0.16,0.197,0.8,0.0896,47,Tuesday,January,Winter
248,2011-01-11,0,2,0.16,0.1515,0.86,0.2239,76,Tuesday,January,Winter
249,2011-01-11,0,2,0.16,0.1515,0.86,0.2239,136,Tuesday,January,Winter
250,2011-01-11,0,3,0.16,0.1818,0.93,0.1045,95,Tuesday,January,Winter
251,2011-01-11,0,3,0.16,0.2273,0.93,0.0,51,Tuesday,January,Winter
252,2011-01-11,0,3,0.16,0.1515,0.93,0.194,32,Tuesday,January,Winter
253,2011-01-11,0,3,0.16,0.197,0.86,0.0896,20,Tuesday,January,Winter
254,2011-01-11,0,3,0.16,0.1818,0.93,0.1045,29,Tuesday,January,Winter
255,2011-01-11,0,3,0.16,0.197,0.93,0.0896,19,Tuesday,January,Winter
256,2011-01-12,0,2,0.16,0.197,0.86,0.0896,7,Wednesday,January,Winter
257,2011-01-12,0,2,0.16,0.1818,0.86,0.1045,6,Wednesday,January,Winter
258,2011-01-12,0,1,0.14,0.1515,0.86,0.1343,1,Wednesday,January,Winter
259,2011-01-12,0,1,0.14,0.1515,0.86,0.1642,5,Wednesday,January,Winter
260,2011-01-12,0,1,0.12,0.1515,0.93,0.1343,16,Wednesday,January,Winter
261,2011-01-12,0,1,0.14,0.1515,0.69,0.1343,54,Wednesday,January,Winter
262,2011-01-12,0,1,0.16,0.1667,0.59,0.1642,128,Wednesday,January,Winter
263,2011-01-12,0,1,0.16,0.1364,0.59,0.3284,81,Wednesday,January,Winter
264,2011-01-12,0,1,0.18,0.1818,0.55,0.2239,39,Wednesday,January,Winter
265,2011-01-12,0,1,0.2,0.1818,0.51,0.3881,35,Wednesday,January,Winter
266,2011-01-12,0,1,0.2,0.1515,0.47,0.5821,55,Wednesday,January,Winter
267,2011-01-12,0,1,0.22,0.197,0.44,0.3582,49,Wednesday,January,Winter
268,2011-01-12,0,1,0.2,0.1818,0.47,0.3284,44,Wednesday,January,Winter
269,2011-01-12,0,1,0.2,0.1667,0.47,0.4179,49,Wednesday,January,Winter
270,2011-01-12,0,1,0.22,0.197,0.44,0.3284,68,Wednesday,January,Winter
271,2011-01-12,0,1,0.2,0.1818,0.47,0.3582,139,Wednesday,January,Winter
272,2011-01-12,0,1,0.2,0.1515,0.47,0.5224,137,Wednesday,January,Winter
273,2011-01-12,0,1,0.18,0.1515,0.47,0.4179,83,Wednesday,January,Winter
274,2011-01-12,0,1,0.16,0.1364,0.5,0.3284,56,Wednesday,January,Winter
275,2011-01-12,0,1,0.16,0.1364,0.55,0.3284,57,Wednesday,January,Winter
276,2011-01-12,0,1,0.16,0.1212,0.55,0.4478,33,Wednesday,January,Winter
277,2011-01-12,0,1,0.14,0.1061,0.59,0.4179,20,Wednesday,January,Winter
278,2011-01-13,0,1,0.14,0.1212,0.59,0.2836,7,Thursday,January,Winter
279,2011-01-13,0,1,0.14,0.1212,0.5,0.2836,2,Thursday,January,Winter
280,2011-01-13,0,1,0.14,0.1212,0.5,0.3582,2,Thursday,January,Winter
281,2011-01-13,0,1,0.14,0.1212,0.5,0.3284,3,Thursday,January,Winter
282,2011-01-13,0,1,0.14,0.1212,0.5,0.2537,4,Thursday,January,Winter
283,2011-01-13,0,1,0.14,0.1212,0.5,0.2985,3,Thursday,January,Winter
284,2011-01-13,0,1,0.12,0.1515,0.54,0.1343,28,Thursday,January,Winter
285,2011-01-13,0,1,0.12,0.1515,0.54,0.1343,72,Thursday,January,Winter
286,2011-01-13,0,1,0.14,0.1364,0.5,0.194,202,Thursday,January,Winter
287,2011-01-13,0,1,0.14,0.1212,0.5,0.3284,139,Thursday,January,Winter
288,2011-01-13,0,2,0.16,0.1364,0.5,0.3582,38,Thursday,January,Winter
289,2011-01-13,0,2,0.2,0.1667,0.44,0.4478,37,Thursday,January,Winter
290,2011-01-13,0,1,0.2,0.1667,0.44,0.4179,52,Thursday,January,Winter
291,2011-01-13,0,1,0.22,0.197,0.41,0.4478,83,Thursday,January,Winter
292,2011-01-13,0,1,0.22,0.197,0.41,0.3881,42,Thursday,January,Winter
293,2011-01-13,0,1,0.24,0.2121,0.38,0.2985,60,Thursday,January,Winter
294,2011-01-13,0,1,0.24,0.2121,0.38,0.3582,78,Thursday,January,Winter
295,2011-01-13,0,1,0.2,0.1818,0.4,0.2836,162,Thursday,January,Winter
296,2011-01-13,0,1,0.2,0.1818,0.4,0.3284,144,Thursday,January,Winter
297,2011-01-13,0,1,0.16,0.1515,0.47,0.2537,99,Thursday,January,Winter
298,2011-01-13,0,1,0.16,0.1515,0.47,0.2239,64,Thursday,January,Winter
299,2011-01-13,0,1,0.14,0.1212,0.46,0.2985,40,Thursday,January,Winter
300,2011-01-13,0,1,0.14,0.1212,0.46,0.3284,30,Thursday,January,Winter
301,2011-01-13,0,1,0.12,0.1364,0.5,0.194,15,Thursday,January,Winter
302,2011-01-14,0,1,0.12,0.1364,0.5,0.194,14,Friday,January,Winter
303,2011-01-14,0,1,0.1,0.1212,0.54,0.1642,5,Friday,January,Winter
304,2011-01-14,0,1,0.1,0.1212,0.54,0.1343,1,Friday,January,Winter
305,2011-01-14,0,1,0.1,0.1364,0.54,0.1045,1,Friday,January,Winter
306,2011-01-14,0,1,0.1,0.1364,0.54,0.0896,8,Friday,January,Winter
307,2011-01-14,0,1,0.1,0.1818,0.54,0.0,17,Friday,January,Winter
308,2011-01-14,0,1,0.1,0.1212,0.74,0.1642,70,Friday,January,Winter
309,2011-01-14,0,1,0.12,0.1667,0.68,0.0,158,Friday,January,Winter
310,2011-01-14,0,1,0.14,0.1515,0.69,0.1343,117,Friday,January,Winter
311,2011-01-14,0,1,0.18,0.1818,0.55,0.194,44,Friday,January,Winter
312,2011-01-14,0,1,0.18,0.1667,0.51,0.2836,53,Friday,January,Winter
313,2011-01-14,0,1,0.2,0.197,0.44,0.2537,61,Friday,January,Winter
314,2011-01-14,0,1,0.22,0.197,0.37,0.3881,77,Friday,January,Winter
315,2011-01-14,0,1,0.22,0.2121,0.41,0.2836,64,Friday,January,Winter
316,2011-01-14,0,1,0.24,0.2424,0.38,0.1642,68,Friday,January,Winter
317,2011-01-14,0,1,0.22,0.2424,0.41,0.1045,90,Friday,January,Winter
318,2011-01-14,0,1,0.22,0.2273,0.41,0.1642,159,Friday,January,Winter
